match_id,gamer_id,round1_name,round1_type,round1_win,round2_name,round2_type,round2_win,round3_name,round3_type,round3_win,round4_name,round4_type,round4_win,round5_name,round5_type,round5_win,round6_name,round6_type,round6_win,crown,date_played
74,5,The Whirlygig,Race,t,Perfect Match,Logic,t,Tail Tag,Team,t,Block Party,Survival,f,,,,,,,f,2020-08-17
75,5,Dizzy Heights,Race,t,Hoarders,Team,f,,,,,,,,,,,,,f,2020-08-17
107,5,Hit Parade,Race,t,Jinxed,Team,t,Jump Club,Survival,t,Tip Toe,Race,f,,,,,,,f,2020-08-17
76,5,See Saw,Race,t,Egg Scramble,Team,t,Jump Club,Survival,t,Tip Toe,Race,t,Fall Mountain,Final,t,,,,t,2020-08-17
146,5,Door Dash,Race,t,Roll Out,Survival,t,Egg Scramble,Team,t,Tip Toe,Race,f,,,,,,,f,2020-08-18
116,5,Hit Parade,Race,t,Egg Scramble,Team,t,Rock n Roll,Team,f,,,,,,,,,,f,2020-08-18
97,5,See Saw,Race,t,Egg Scramble,Team,t,Block Party,Survival,t,Tip Toe,Race,f,,,,,,,f,2020-08-17
98,5,Gate Crash,Race,t,Jinxed,Team,f,,,,,,,,,,,,,f,2020-08-17
80,5,Door Dash,Race,f,,,,,,,,,,,,,,,,f,2020-08-17
79,5,Dizzy Heights,Race,t,Slime Climb,Race,f,,,,,,,,,,,,,f,2020-08-17
169,5,Door Dash,Race,t,Gate Crash,Race,t,Jump Club,Survival,t,Block Party,Survival,t,Hex-a-Gone,Final,t,,,,t,2020-08-18
81,5,The Whirlygig,Race,t,Hoarders,Team,t,Block Party,Survival,t,Fall Mountain,Final,f,,,,,,,f,2020-08-17
109,5,Dizzy Heights,Race,t,Door Dash,Race,t,,,,,,,,,,,,,f,2020-08-17
99,5,The Whirlygig,Race,t,Hit Parade,Race,t,Perfect Match,Logic,t,Hoopsie Daisy,Team,t,Tip Toe,Race,t,Fall Mountain,Final,t,t,2020-08-17
82,5,Door Dash,Race,t,Roll Out,Survival,t,Egg Scramble,Team,t,Block Party,Survival,t,Hex-a-Gone,Final,f,,,,f,2020-08-17
117,5,Gate Crash,Race,t,Perfect Match,Logic,t,Roll Out,Survival,t,Hoopsie Daisy,Team,f,,,,,,,f,2020-08-18
100,5,The Whirlygig,Race,t,Door Dash,Race,t,Roll Out,Survival,t,Block Party,Survival,t,Fall Mountain,Final,f,,,,f,2020-08-17
110,5,The Whirlygig,Race,t,Egg Scramble,Team,t,Rock n Roll,Team,t,Hex-a-Gone,Final,f,,,,,,,f,2020-08-17
171,5,The Whirlygig,Race,t,Roll Out,Survival,t,Perfect Match,Logic,t,Tip Toe,Race,t,Fall Ball,Team,t,Royal Fumble,Final,t,t,2020-08-19
101,5,The Whirlygig,Race,t,Hoarders,Team,t,Slime Climb,Race,t,Rock n Roll,Team,t,Fall Mountain,Final,f,,,,f,2020-08-17
147,5,Hit Parade,Race,t,The Whirlygig,Race,t,Fruit Chute,Race,t,Hoopsie Daisy,Team,t,Hex-a-Gone,Final,f,,,,f,2020-08-18
141,5,The Whirlygig,Race,t,Hit Parade,Race,t,Egg Scramble,Team,t,Tip Toe,Race,t,Fall Mountain,Final,t,,,,t,2020-08-18
111,5,Dizzy Heights,Race,t,Jinxed,Team,t,Perfect Match,Logic,t,Jump Club,Survival,t,Hex-a-Gone,Final,f,,,,f,2020-08-18
102,5,The Whirlygig,Race,t,Hoarders,Team,t,Perfect Match,Logic,t,Fruit Chute,Race,t,Jump Showdown,Final,f,,,,f,2020-08-17
112,5,See Saw,Race,t,Hit Parade,Race,t,Tail Tag,Hunt,t,Hex-a-Gone,Final,t,,,,,,,t,2020-08-18
142,5,Hit Parade,Race,t,Gate Crash,Race,f,,,,,,,,,,,,,f,2020-08-18
113,5,Gate Crash,Race,t,Roll Out,Survival,t,Fruit Chute,Race,t,Hex-a-Gone,Final,f,,,,,,,f,2020-08-18
143,5,See Saw,Race,t,Hoarders,Team,t,Perfect Match,Logic,f,,,,,,,,,,f,2020-08-18
114,5,Hit Parade,Race,t,Dizzy Heights,Race,t,Rock n Roll,Type,t,Hoopsie Daisy,Team,t,Hex-a-Gone,Final,t,,,,t,2020-08-18
163,5,Gate Crash,Race,t,Perfect Match,Logic,t,Egg Scramble,Team,t,Fruit Chute,Race,t,Hex-a-Gone,Final,f,,,,f,2020-08-18
167,5,See Saw,Race,t,Perfect Match,Logic,t,Roll Out,Survival,f,,,,,,,,,,f,2020-08-18
164,5,Hit Parade,Race,t,Jinxed,Team,t,,,,,,,,,,,,,f,2020-08-18
144,5,See Saw,Race,t,Door Dash,Race,t,Fruit Chute,Race,t,Block Party,Survival,t,Fall Mountain,Final,f,,,,f,2020-08-18
145,5,Dizzy Heights,Race,t,,,,,,,,,,,,,,,,f,2020-08-18
168,5,Hit Parade,Race,t,Egg Scramble,Team,f,,,,,,,,,,,,,f,2020-08-18
174,5,Door Dash,Race,f,,,,,,,,,,,,,,,,f,2020-08-19
165,5,See Saw,Race,t,Dizzy Heights,Race,t,Roll Out,Survival,t,Block Party,Survival,f,,,,,,,f,2020-08-18
204,5,The Whirlygig,Race,t,Hoarders,Team,t,Perfect Match,Logic,t,Block Party,Survival,t,Fall Ball,Team,t,Fall Mountain,Final,f,f,2020-08-20
172,5,Gate Crash,Race,t,Hoarders,Team,t,Slime Climb,Race,t,Tip Toe,Race,t,Royal Fumble,Final,f,,,,f,2020-08-19
176,5,The Whirlygig,Race,t,Perfect Match,Logic,t,Egg Scramble,Team,t,Tip Toe,Race,t,Hex-a-Gone,Final,t,,,,t,2020-08-19
175,5,Gate Crash,Race,t,Jinxed,Team,t,Hex-a-Gone,Final,f,,,,,,,,,,f,2020-08-19
173,5,Gate Crash,Race,t,Jinxed,Team,f,,,,,,,,,,,,,f,2020-08-19
205,5,The Whirlygig,Race,t,Hit Parade,Race,t,Roll Out,Survival,t,Tip Toe,Race,t,Fall Mountain,Final,f,,,,f,2020-08-20
